Training 2c3f_relu with weight bit width 1 and activation bit width 4 for 500 epochs.
Epoch [1/500], LR: 0.010000, Train Loss: 0.8323, Train Acc: 74.56%, Val Loss: 0.5578, Val Acc: 82.10%
Epoch [2/500], LR: 0.010000, Train Loss: 0.3264, Train Acc: 90.02%, Val Loss: 0.4146, Val Acc: 86.97%
Epoch [3/500], LR: 0.010000, Train Loss: 0.2340, Train Acc: 92.67%, Val Loss: 0.3879, Val Acc: 87.38%
Epoch [4/500], LR: 0.010000, Train Loss: 0.1904, Train Acc: 94.00%, Val Loss: 0.2053, Val Acc: 93.83%
Epoch [5/500], LR: 0.010000, Train Loss: 0.1649, Train Acc: 94.87%, Val Loss: 0.1930, Val Acc: 93.73%
Epoch [6/500], LR: 0.010000, Train Loss: 0.1561, Train Acc: 95.16%, Val Loss: 0.1633, Val Acc: 94.84%
Epoch [7/500], LR: 0.010000, Train Loss: 0.1426, Train Acc: 95.53%, Val Loss: 0.2315, Val Acc: 92.43%
Epoch [8/500], LR: 0.010000, Train Loss: 0.1346, Train Acc: 95.71%, Val Loss: 0.1849, Val Acc: 94.28%
Epoch [9/500], LR: 0.010000, Train Loss: 0.1275, Train Acc: 95.90%, Val Loss: 0.2724, Val Acc: 91.51%
Epoch [10/500], LR: 0.010000, Train Loss: 0.1261, Train Acc: 95.96%, Val Loss: 0.1613, Val Acc: 94.94%
Epoch [11/500], LR: 0.010000, Train Loss: 0.1232, Train Acc: 96.06%, Val Loss: 0.1518, Val Acc: 95.15%
Epoch [12/500], LR: 0.010000, Train Loss: 0.1120, Train Acc: 96.49%, Val Loss: 0.1508, Val Acc: 95.26%
Epoch [13/500], LR: 0.010000, Train Loss: 0.1128, Train Acc: 96.42%, Val Loss: 0.2702, Val Acc: 92.20%
Epoch [14/500], LR: 0.010000, Train Loss: 0.1104, Train Acc: 96.42%, Val Loss: 0.1711, Val Acc: 94.67%
Epoch [15/500], LR: 0.010000, Train Loss: 0.1158, Train Acc: 96.38%, Val Loss: 0.2097, Val Acc: 92.95%
Epoch [16/500], LR: 0.010000, Train Loss: 0.1093, Train Acc: 96.53%, Val Loss: 0.1368, Val Acc: 95.70%
Epoch [17/500], LR: 0.010000, Train Loss: 0.1073, Train Acc: 96.60%, Val Loss: 0.1072, Val Acc: 96.63%
Epoch [18/500], LR: 0.010000, Train Loss: 0.1070, Train Acc: 96.59%, Val Loss: 0.3196, Val Acc: 89.58%
Epoch [19/500], LR: 0.010000, Train Loss: 0.1024, Train Acc: 96.74%, Val Loss: 0.2056, Val Acc: 93.62%
Epoch [20/500], LR: 0.010000, Train Loss: 0.1022, Train Acc: 96.73%, Val Loss: 0.1935, Val Acc: 93.64%
Epoch [21/500], LR: 0.010000, Train Loss: 0.1025, Train Acc: 96.71%, Val Loss: 0.2098, Val Acc: 93.35%
Epoch [22/500], LR: 0.010000, Train Loss: 0.1023, Train Acc: 96.81%, Val Loss: 0.1360, Val Acc: 95.70%
Epoch [23/500], LR: 0.010000, Train Loss: 0.0960, Train Acc: 96.90%, Val Loss: 0.1851, Val Acc: 94.29%
Epoch [24/500], LR: 0.010000, Train Loss: 0.0997, Train Acc: 96.83%, Val Loss: 0.1268, Val Acc: 96.09%
Epoch [25/500], LR: 0.010000, Train Loss: 0.0949, Train Acc: 96.94%, Val Loss: 0.1198, Val Acc: 96.01%
Epoch [26/500], LR: 0.010000, Train Loss: 0.0958, Train Acc: 96.99%, Val Loss: 0.4070, Val Acc: 87.11%
Epoch [27/500], LR: 0.010000, Train Loss: 0.0953, Train Acc: 96.90%, Val Loss: 0.1180, Val Acc: 96.49%
Epoch [28/500], LR: 0.010000, Train Loss: 0.0926, Train Acc: 97.06%, Val Loss: 0.1198, Val Acc: 96.23%
Epoch [29/500], LR: 0.010000, Train Loss: 0.0913, Train Acc: 97.09%, Val Loss: 0.1068, Val Acc: 96.56%
Epoch [30/500], LR: 0.010000, Train Loss: 0.0878, Train Acc: 97.16%, Val Loss: 0.1885, Val Acc: 94.12%
Epoch [31/500], LR: 0.010000, Train Loss: 0.0913, Train Acc: 97.01%, Val Loss: 0.1136, Val Acc: 96.44%
