Training 2c3f with weight bit width 2 and activation bit width 8 for 500 epochs.
Epoch [1/500], LR: 0.010000, Train Loss: 0.8583, Train Acc: 73.82%, Val Loss: 0.5104, Val Acc: 83.49%
Epoch [2/500], LR: 0.010000, Train Loss: 0.3276, Train Acc: 89.90%, Val Loss: 0.4303, Val Acc: 86.57%
Epoch [3/500], LR: 0.010000, Train Loss: 0.2401, Train Acc: 92.54%, Val Loss: 0.4234, Val Acc: 86.18%
Epoch [4/500], LR: 0.010000, Train Loss: 0.2049, Train Acc: 93.59%, Val Loss: 0.2002, Val Acc: 93.77%
Epoch [5/500], LR: 0.010000, Train Loss: 0.1772, Train Acc: 94.42%, Val Loss: 0.2371, Val Acc: 92.45%
Epoch [6/500], LR: 0.010000, Train Loss: 0.1658, Train Acc: 94.78%, Val Loss: 0.2604, Val Acc: 91.71%
Epoch [7/500], LR: 0.010000, Train Loss: 0.1536, Train Acc: 95.23%, Val Loss: 0.2297, Val Acc: 92.77%
Epoch [8/500], LR: 0.010000, Train Loss: 0.1465, Train Acc: 95.40%, Val Loss: 0.1709, Val Acc: 94.40%
Epoch [9/500], LR: 0.010000, Train Loss: 0.1406, Train Acc: 95.68%, Val Loss: 0.2206, Val Acc: 93.05%
Epoch [10/500], LR: 0.010000, Train Loss: 0.1339, Train Acc: 95.77%, Val Loss: 0.1685, Val Acc: 94.62%
Epoch [11/500], LR: 0.010000, Train Loss: 0.1332, Train Acc: 95.73%, Val Loss: 0.7960, Val Acc: 75.27%
Epoch [12/500], LR: 0.010000, Train Loss: 0.1205, Train Acc: 96.19%, Val Loss: 0.1752, Val Acc: 94.51%
Epoch [13/500], LR: 0.010000, Train Loss: 0.1215, Train Acc: 96.14%, Val Loss: 0.2358, Val Acc: 92.35%
Epoch [14/500], LR: 0.010000, Train Loss: 0.1156, Train Acc: 96.33%, Val Loss: 0.1341, Val Acc: 95.68%
Epoch [15/500], LR: 0.010000, Train Loss: 0.1175, Train Acc: 96.32%, Val Loss: 0.1852, Val Acc: 93.95%
Epoch [16/500], LR: 0.010000, Train Loss: 0.1125, Train Acc: 96.44%, Val Loss: 0.1344, Val Acc: 95.74%
Epoch [17/500], LR: 0.010000, Train Loss: 0.1104, Train Acc: 96.49%, Val Loss: 0.2464, Val Acc: 92.20%
Epoch [18/500], LR: 0.010000, Train Loss: 0.1111, Train Acc: 96.41%, Val Loss: 0.1154, Val Acc: 96.39%
Epoch [19/500], LR: 0.010000, Train Loss: 0.1087, Train Acc: 96.59%, Val Loss: 0.2174, Val Acc: 93.08%
Epoch [20/500], LR: 0.010000, Train Loss: 0.1040, Train Acc: 96.71%, Val Loss: 0.2720, Val Acc: 91.43%
Epoch [21/500], LR: 0.010000, Train Loss: 0.1047, Train Acc: 96.61%, Val Loss: 0.1922, Val Acc: 93.58%
Epoch [22/500], LR: 0.010000, Train Loss: 0.1014, Train Acc: 96.76%, Val Loss: 0.1578, Val Acc: 95.10%
Epoch [23/500], LR: 0.010000, Train Loss: 0.0995, Train Acc: 96.88%, Val Loss: 0.2966, Val Acc: 90.68%
Epoch [24/500], LR: 0.010000, Train Loss: 0.0987, Train Acc: 96.86%, Val Loss: 0.2461, Val Acc: 92.65%
Epoch [25/500], LR: 0.010000, Train Loss: 0.0966, Train Acc: 96.81%, Val Loss: 0.1469, Val Acc: 95.58%
Epoch [26/500], LR: 0.010000, Train Loss: 0.0968, Train Acc: 96.85%, Val Loss: 0.1084, Val Acc: 96.59%
Epoch [27/500], LR: 0.010000, Train Loss: 0.0941, Train Acc: 97.01%, Val Loss: 0.1708, Val Acc: 94.61%
Epoch [28/500], LR: 0.010000, Train Loss: 0.0904, Train Acc: 97.12%, Val Loss: 0.1781, Val Acc: 94.36%
Epoch [29/500], LR: 0.010000, Train Loss: 0.0937, Train Acc: 97.01%, Val Loss: 0.1316, Val Acc: 96.03%
Epoch [30/500], LR: 0.010000, Train Loss: 0.0895, Train Acc: 97.16%, Val Loss: 0.2022, Val Acc: 93.52%
Epoch [31/500], LR: 0.010000, Train Loss: 0.0921, Train Acc: 97.07%, Val Loss: 0.1382, Val Acc: 95.57%
Epoch [32/500], LR: 0.010000, Train Loss: 0.0895, Train Acc: 97.10%, Val Loss: 0.1155, Val Acc: 96.30%
Epoch [33/500], LR: 0.010000, Train Loss: 0.0889, Train Acc: 97.18%, Val Loss: 0.1393, Val Acc: 95.68%
Epoch [34/500], LR: 0.010000, Train Loss: 0.0859, Train Acc: 97.32%, Val Loss: 0.1454, Val Acc: 95.50%
Epoch [35/500], LR: 0.010000, Train Loss: 0.0853, Train Acc: 97.29%, Val Loss: 0.1183, Val Acc: 96.32%
Epoch [36/500], LR: 0.010000, Train Loss: 0.0884, Train Acc: 97.17%, Val Loss: 0.1132, Val Acc: 96.65%
Epoch [37/500], LR: 0.010000, Train Loss: 0.0880, Train Acc: 97.23%, Val Loss: 0.1258, Val Acc: 96.06%
Epoch [38/500], LR: 0.010000, Train Loss: 0.0866, Train Acc: 97.24%, Val Loss: 0.0955, Val Acc: 96.99%
Epoch [39/500], LR: 0.010000, Train Loss: 0.0843, Train Acc: 97.29%, Val Loss: 0.2670, Val Acc: 91.38%
Epoch [40/500], LR: 0.010000, Train Loss: 0.0860, Train Acc: 97.20%, Val Loss: 0.0908, Val Acc: 97.32%
Epoch [41/500], LR: 0.010000, Train Loss: 0.0814, Train Acc: 97.40%, Val Loss: 0.1813, Val Acc: 94.44%
Epoch [42/500], LR: 0.010000, Train Loss: 0.0829, Train Acc: 97.33%, Val Loss: 0.1296, Val Acc: 95.95%
Epoch [43/500], LR: 0.010000, Train Loss: 0.0816, Train Acc: 97.35%, Val Loss: 0.1285, Val Acc: 95.96%
Epoch [44/500], LR: 0.010000, Train Loss: 0.0834, Train Acc: 97.29%, Val Loss: 0.1065, Val Acc: 96.67%
Epoch [45/500], LR: 0.010000, Train Loss: 0.0805, Train Acc: 97.43%, Val Loss: 0.2124, Val Acc: 93.51%
Epoch [46/500], LR: 0.010000, Train Loss: 0.0806, Train Acc: 97.39%, Val Loss: 0.1007, Val Acc: 96.95%
Epoch [47/500], LR: 0.010000, Train Loss: 0.0793, Train Acc: 97.42%, Val Loss: 0.1103, Val Acc: 96.63%
Epoch [48/500], LR: 0.010000, Train Loss: 0.0779, Train Acc: 97.51%, Val Loss: 0.4487, Val Acc: 86.79%
Epoch [49/500], LR: 0.010000, Train Loss: 0.0788, Train Acc: 97.44%, Val Loss: 0.1192, Val Acc: 96.18%
Epoch [50/500], LR: 0.010000, Train Loss: 0.0799, Train Acc: 97.42%, Val Loss: 0.1164, Val Acc: 96.43%
Epoch [51/500], LR: 0.010000, Train Loss: 0.0795, Train Acc: 97.40%, Val Loss: 0.1066, Val Acc: 96.76%
Epoch [52/500], LR: 0.010000, Train Loss: 0.0779, Train Acc: 97.50%, Val Loss: 0.0935, Val Acc: 96.92%
Epoch [53/500], LR: 0.010000, Train Loss: 0.0779, Train Acc: 97.42%, Val Loss: 0.2105, Val Acc: 93.04%
Epoch [54/500], LR: 0.010000, Train Loss: 0.0774, Train Acc: 97.44%, Val Loss: 0.1382, Val Acc: 95.79%
Epoch [55/500], LR: 0.010000, Train Loss: 0.0771, Train Acc: 97.50%, Val Loss: 0.0920, Val Acc: 97.13%
Epoch [56/500], LR: 0.010000, Train Loss: 0.0776, Train Acc: 97.48%, Val Loss: 0.0917, Val Acc: 97.12%
Epoch [57/500], LR: 0.010000, Train Loss: 0.0752, Train Acc: 97.52%, Val Loss: 0.1087, Val Acc: 96.61%
Epoch [58/500], LR: 0.010000, Train Loss: 0.0765, Train Acc: 97.51%, Val Loss: 0.0999, Val Acc: 96.92%
Epoch [59/500], LR: 0.010000, Train Loss: 0.0744, Train Acc: 97.54%, Val Loss: 0.1616, Val Acc: 94.73%
Epoch [60/500], LR: 0.010000, Train Loss: 0.0735, Train Acc: 97.62%, Val Loss: 0.1240, Val Acc: 96.08%
Epoch [61/500], LR: 0.010000, Train Loss: 0.0739, Train Acc: 97.62%, Val Loss: 0.3635, Val Acc: 89.24%
Epoch [62/500], LR: 0.010000, Train Loss: 0.0720, Train Acc: 97.66%, Val Loss: 0.0978, Val Acc: 96.98%
Epoch [63/500], LR: 0.010000, Train Loss: 0.0750, Train Acc: 97.54%, Val Loss: 0.0861, Val Acc: 97.22%
Epoch [64/500], LR: 0.010000, Train Loss: 0.0733, Train Acc: 97.62%, Val Loss: 0.1084, Val Acc: 96.67%
Epoch [65/500], LR: 0.010000, Train Loss: 0.0729, Train Acc: 97.56%, Val Loss: 0.1394, Val Acc: 95.23%
Epoch [66/500], LR: 0.010000, Train Loss: 0.0716, Train Acc: 97.66%, Val Loss: 0.0935, Val Acc: 97.23%
Epoch [67/500], LR: 0.010000, Train Loss: 0.0741, Train Acc: 97.67%, Val Loss: 0.1550, Val Acc: 95.03%
Epoch [68/500], LR: 0.010000, Train Loss: 0.0735, Train Acc: 97.71%, Val Loss: 0.0931, Val Acc: 97.10%
Epoch [69/500], LR: 0.010000, Train Loss: 0.0704, Train Acc: 97.67%, Val Loss: 0.1630, Val Acc: 94.77%
Epoch [70/500], LR: 0.010000, Train Loss: 0.0723, Train Acc: 97.68%, Val Loss: 0.1007, Val Acc: 96.92%
Epoch [71/500], LR: 0.010000, Train Loss: 0.0710, Train Acc: 97.74%, Val Loss: 0.1225, Val Acc: 96.12%
Epoch [72/500], LR: 0.010000, Train Loss: 0.0728, Train Acc: 97.63%, Val Loss: 0.0848, Val Acc: 97.44%
Epoch [73/500], LR: 0.010000, Train Loss: 0.0723, Train Acc: 97.67%, Val Loss: 0.0993, Val Acc: 96.78%
Epoch [74/500], LR: 0.010000, Train Loss: 0.0710, Train Acc: 97.68%, Val Loss: 0.4375, Val Acc: 86.60%
Epoch [75/500], LR: 0.010000, Train Loss: 0.0720, Train Acc: 97.66%, Val Loss: 0.0975, Val Acc: 97.05%
Epoch [76/500], LR: 0.010000, Train Loss: 0.0707, Train Acc: 97.66%, Val Loss: 0.2851, Val Acc: 91.74%
Epoch [77/500], LR: 0.010000, Train Loss: 0.0691, Train Acc: 97.81%, Val Loss: 0.1357, Val Acc: 95.92%
Epoch [78/500], LR: 0.010000, Train Loss: 0.0709, Train Acc: 97.65%, Val Loss: 0.7161, Val Acc: 77.77%
Epoch [79/500], LR: 0.010000, Train Loss: 0.0682, Train Acc: 97.75%, Val Loss: 0.1635, Val Acc: 95.08%
Epoch [80/500], LR: 0.010000, Train Loss: 0.0701, Train Acc: 97.66%, Val Loss: 0.0789, Val Acc: 97.42%
Epoch [81/500], LR: 0.010000, Train Loss: 0.0676, Train Acc: 97.83%, Val Loss: 0.0913, Val Acc: 97.22%
Epoch [82/500], LR: 0.010000, Train Loss: 0.0699, Train Acc: 97.71%, Val Loss: 0.0819, Val Acc: 97.46%
Epoch [83/500], LR: 0.010000, Train Loss: 0.0682, Train Acc: 97.70%, Val Loss: 0.1263, Val Acc: 96.07%
Epoch [84/500], LR: 0.010000, Train Loss: 0.0645, Train Acc: 97.86%, Val Loss: 0.1395, Val Acc: 95.53%
Epoch [85/500], LR: 0.010000, Train Loss: 0.0678, Train Acc: 97.87%, Val Loss: 0.1372, Val Acc: 95.43%
Epoch [86/500], LR: 0.010000, Train Loss: 0.0652, Train Acc: 97.86%, Val Loss: 0.1165, Val Acc: 96.46%
Epoch [87/500], LR: 0.010000, Train Loss: 0.0666, Train Acc: 97.91%, Val Loss: 0.1084, Val Acc: 96.65%
Epoch [88/500], LR: 0.010000, Train Loss: 0.0677, Train Acc: 97.79%, Val Loss: 0.1988, Val Acc: 94.34%
Epoch [89/500], LR: 0.010000, Train Loss: 0.0677, Train Acc: 97.78%, Val Loss: 0.1543, Val Acc: 95.04%
Epoch [90/500], LR: 0.010000, Train Loss: 0.0654, Train Acc: 97.82%, Val Loss: 0.0865, Val Acc: 97.35%
Epoch [91/500], LR: 0.010000, Train Loss: 0.0665, Train Acc: 97.85%, Val Loss: 0.1107, Val Acc: 96.58%
Epoch [92/500], LR: 0.010000, Train Loss: 0.0652, Train Acc: 97.87%, Val Loss: 0.1770, Val Acc: 94.85%
Epoch [93/500], LR: 0.010000, Train Loss: 0.0658, Train Acc: 97.83%, Val Loss: 0.1228, Val Acc: 95.93%
Epoch [94/500], LR: 0.010000, Train Loss: 0.0635, Train Acc: 97.92%, Val Loss: 0.0843, Val Acc: 97.36%
Epoch [95/500], LR: 0.010000, Train Loss: 0.0663, Train Acc: 97.90%, Val Loss: 0.2381, Val Acc: 92.45%
Epoch [96/500], LR: 0.010000, Train Loss: 0.0676, Train Acc: 97.76%, Val Loss: 0.0855, Val Acc: 97.38%
Epoch [97/500], LR: 0.010000, Train Loss: 0.0647, Train Acc: 97.92%, Val Loss: 0.2860, Val Acc: 90.66%
Epoch [98/500], LR: 0.010000, Train Loss: 0.0635, Train Acc: 97.96%, Val Loss: 0.0845, Val Acc: 97.34%
Epoch [99/500], LR: 0.010000, Train Loss: 0.0642, Train Acc: 97.94%, Val Loss: 0.1471, Val Acc: 95.80%
Epoch [100/500], LR: 0.010000, Train Loss: 0.0637, Train Acc: 97.92%, Val Loss: 0.1402, Val Acc: 95.83%
Epoch [101/500], LR: 0.001000, Train Loss: 0.0526, Train Acc: 98.28%, Val Loss: 0.0564, Val Acc: 98.28%
Epoch [102/500], LR: 0.001000, Train Loss: 0.0469, Train Acc: 98.45%, Val Loss: 0.0635, Val Acc: 97.95%
Epoch [103/500], LR: 0.001000, Train Loss: 0.0435, Train Acc: 98.55%, Val Loss: 0.0554, Val Acc: 98.30%
Epoch [104/500], LR: 0.001000, Train Loss: 0.0442, Train Acc: 98.50%, Val Loss: 0.0586, Val Acc: 98.23%
