Training lfc with weight bit width 8 and activation bit width 8 for 500 epochs.
Epoch [1/500], LR: 0.010000, Train Loss: 1.2261, Train Acc: 60.05%, Val Loss: 0.7669, Val Acc: 75.35%
Epoch [2/500], LR: 0.010000, Train Loss: 0.7535, Train Acc: 75.14%, Val Loss: 0.4547, Val Acc: 84.94%
Epoch [3/500], LR: 0.010000, Train Loss: 0.5564, Train Acc: 81.32%, Val Loss: 0.3664, Val Acc: 87.70%
Epoch [4/500], LR: 0.010000, Train Loss: 0.4702, Train Acc: 84.33%, Val Loss: 0.2766, Val Acc: 90.82%
Epoch [5/500], LR: 0.010000, Train Loss: 0.4173, Train Acc: 86.20%, Val Loss: 0.2565, Val Acc: 91.71%
Epoch [6/500], LR: 0.010000, Train Loss: 0.3873, Train Acc: 87.42%, Val Loss: 0.2323, Val Acc: 92.44%
Epoch [7/500], LR: 0.010000, Train Loss: 0.3613, Train Acc: 88.27%, Val Loss: 0.2068, Val Acc: 93.31%
Epoch [8/500], LR: 0.010000, Train Loss: 0.3422, Train Acc: 88.97%, Val Loss: 0.1923, Val Acc: 93.92%
Epoch [9/500], LR: 0.010000, Train Loss: 0.3238, Train Acc: 89.40%, Val Loss: 0.1907, Val Acc: 93.84%
Epoch [10/500], LR: 0.010000, Train Loss: 0.3155, Train Acc: 89.63%, Val Loss: 0.1894, Val Acc: 93.87%
Epoch [11/500], LR: 0.010000, Train Loss: 0.3146, Train Acc: 89.69%, Val Loss: 0.1753, Val Acc: 94.17%
Epoch [12/500], LR: 0.010000, Train Loss: 0.2962, Train Acc: 90.50%, Val Loss: 0.1731, Val Acc: 94.31%
Epoch [13/500], LR: 0.010000, Train Loss: 0.2873, Train Acc: 90.68%, Val Loss: 0.1632, Val Acc: 94.78%
Epoch [14/500], LR: 0.010000, Train Loss: 0.2821, Train Acc: 90.97%, Val Loss: 0.1676, Val Acc: 94.59%
Epoch [15/500], LR: 0.010000, Train Loss: 0.2804, Train Acc: 90.84%, Val Loss: 0.1662, Val Acc: 94.54%
Epoch [16/500], LR: 0.010000, Train Loss: 0.2708, Train Acc: 91.25%, Val Loss: 0.1550, Val Acc: 95.10%
Epoch [17/500], LR: 0.010000, Train Loss: 0.2702, Train Acc: 91.28%, Val Loss: 0.1547, Val Acc: 95.12%
Epoch [18/500], LR: 0.010000, Train Loss: 0.2613, Train Acc: 91.52%, Val Loss: 0.1558, Val Acc: 94.94%
Epoch [19/500], LR: 0.010000, Train Loss: 0.2603, Train Acc: 91.50%, Val Loss: 0.1497, Val Acc: 95.09%
Epoch [20/500], LR: 0.010000, Train Loss: 0.2509, Train Acc: 91.83%, Val Loss: 0.1491, Val Acc: 95.16%
Epoch [21/500], LR: 0.010000, Train Loss: 0.2505, Train Acc: 91.89%, Val Loss: 0.1407, Val Acc: 95.47%
Epoch [22/500], LR: 0.010000, Train Loss: 0.2533, Train Acc: 91.72%, Val Loss: 0.1355, Val Acc: 95.56%
