Training sfc with weight bit width 4 and activation bit width 1 for 500 epochs.
Epoch [1/500], LR: 0.010000, Train Loss: 1.4425, Train Acc: 51.61%, Val Loss: 1.0227, Val Acc: 66.64%
Epoch [2/500], LR: 0.010000, Train Loss: 1.0698, Train Acc: 64.38%, Val Loss: 0.7719, Val Acc: 73.73%
Epoch [3/500], LR: 0.010000, Train Loss: 0.8907, Train Acc: 70.13%, Val Loss: 0.6331, Val Acc: 78.83%
Epoch [4/500], LR: 0.010000, Train Loss: 0.7865, Train Acc: 73.66%, Val Loss: 0.5586, Val Acc: 81.23%
Epoch [5/500], LR: 0.010000, Train Loss: 0.7242, Train Acc: 75.74%, Val Loss: 0.5109, Val Acc: 82.70%
Epoch [6/500], LR: 0.010000, Train Loss: 0.6819, Train Acc: 77.19%, Val Loss: 0.4779, Val Acc: 83.99%
Epoch [7/500], LR: 0.010000, Train Loss: 0.6450, Train Acc: 78.56%, Val Loss: 0.4425, Val Acc: 85.72%
Epoch [8/500], LR: 0.010000, Train Loss: 0.6179, Train Acc: 79.58%, Val Loss: 0.4071, Val Acc: 87.20%
Epoch [9/500], LR: 0.010000, Train Loss: 0.5977, Train Acc: 80.30%, Val Loss: 0.3844, Val Acc: 87.64%
Epoch [10/500], LR: 0.010000, Train Loss: 0.5748, Train Acc: 81.21%, Val Loss: 0.3800, Val Acc: 87.63%
Epoch [11/500], LR: 0.010000, Train Loss: 0.5535, Train Acc: 81.90%, Val Loss: 0.3728, Val Acc: 88.00%
Epoch [12/500], LR: 0.010000, Train Loss: 0.5459, Train Acc: 82.20%, Val Loss: 0.3543, Val Acc: 88.80%
Epoch [13/500], LR: 0.010000, Train Loss: 0.5337, Train Acc: 82.40%, Val Loss: 0.3388, Val Acc: 89.20%
Epoch [14/500], LR: 0.010000, Train Loss: 0.5267, Train Acc: 82.86%, Val Loss: 0.3431, Val Acc: 89.04%
Epoch [15/500], LR: 0.010000, Train Loss: 0.5180, Train Acc: 83.12%, Val Loss: 0.3292, Val Acc: 89.51%
Epoch [16/500], LR: 0.010000, Train Loss: 0.5124, Train Acc: 83.41%, Val Loss: 0.3320, Val Acc: 89.58%
Epoch [17/500], LR: 0.010000, Train Loss: 0.4977, Train Acc: 83.72%, Val Loss: 0.3145, Val Acc: 90.14%
Epoch [18/500], LR: 0.010000, Train Loss: 0.4957, Train Acc: 84.08%, Val Loss: 0.3183, Val Acc: 90.12%
Epoch [19/500], LR: 0.010000, Train Loss: 0.4910, Train Acc: 84.01%, Val Loss: 0.3012, Val Acc: 90.53%
Epoch [20/500], LR: 0.010000, Train Loss: 0.4780, Train Acc: 84.42%, Val Loss: 0.3267, Val Acc: 89.91%
Epoch [21/500], LR: 0.010000, Train Loss: 0.4779, Train Acc: 84.45%, Val Loss: 0.3010, Val Acc: 90.72%
Epoch [22/500], LR: 0.010000, Train Loss: 0.4770, Train Acc: 84.59%, Val Loss: 0.3002, Val Acc: 90.39%
Epoch [23/500], LR: 0.010000, Train Loss: 0.4723, Train Acc: 84.66%, Val Loss: 0.2918, Val Acc: 90.79%
Epoch [24/500], LR: 0.010000, Train Loss: 0.4729, Train Acc: 84.76%, Val Loss: 0.2937, Val Acc: 90.89%
Epoch [25/500], LR: 0.010000, Train Loss: 0.4624, Train Acc: 85.09%, Val Loss: 0.2923, Val Acc: 90.84%
Epoch [26/500], LR: 0.010000, Train Loss: 0.4665, Train Acc: 84.87%, Val Loss: 0.2881, Val Acc: 90.67%
Epoch [27/500], LR: 0.010000, Train Loss: 0.4633, Train Acc: 85.10%, Val Loss: 0.2904, Val Acc: 90.78%
Epoch [28/500], LR: 0.010000, Train Loss: 0.4593, Train Acc: 85.29%, Val Loss: 0.2796, Val Acc: 91.36%
Epoch [29/500], LR: 0.010000, Train Loss: 0.4519, Train Acc: 85.28%, Val Loss: 0.2829, Val Acc: 91.20%
Epoch [30/500], LR: 0.010000, Train Loss: 0.4549, Train Acc: 85.37%, Val Loss: 0.2786, Val Acc: 91.47%
Epoch [31/500], LR: 0.010000, Train Loss: 0.4490, Train Acc: 85.64%, Val Loss: 0.2774, Val Acc: 91.24%
Epoch [32/500], LR: 0.010000, Train Loss: 0.4508, Train Acc: 85.52%, Val Loss: 0.2615, Val Acc: 91.67%
