Training tfc with weight bit width 1 and activation bit width 4 for 500 epochs.
Epoch [1/500], LR: 0.010000, Train Loss: 1.7198, Train Acc: 40.75%, Val Loss: 1.1900, Val Acc: 59.96%
Epoch [2/500], LR: 0.010000, Train Loss: 1.2987, Train Acc: 55.79%, Val Loss: 1.0535, Val Acc: 64.42%
Epoch [3/500], LR: 0.010000, Train Loss: 1.2096, Train Acc: 58.94%, Val Loss: 0.9435, Val Acc: 68.62%
Epoch [4/500], LR: 0.010000, Train Loss: 1.1554, Train Acc: 60.96%, Val Loss: 0.8759, Val Acc: 70.58%
Epoch [5/500], LR: 0.010000, Train Loss: 1.0914, Train Acc: 63.28%, Val Loss: 0.8389, Val Acc: 71.80%
Epoch [6/500], LR: 0.010000, Train Loss: 1.0581, Train Acc: 64.38%, Val Loss: 0.7779, Val Acc: 73.23%
Epoch [7/500], LR: 0.010000, Train Loss: 1.0289, Train Acc: 65.49%, Val Loss: 0.7331, Val Acc: 75.67%
Epoch [8/500], LR: 0.010000, Train Loss: 1.0123, Train Acc: 66.08%, Val Loss: 0.7231, Val Acc: 75.32%
Epoch [9/500], LR: 0.010000, Train Loss: 0.9890, Train Acc: 66.72%, Val Loss: 0.6960, Val Acc: 76.33%
Epoch [10/500], LR: 0.010000, Train Loss: 0.9751, Train Acc: 67.14%, Val Loss: 0.6956, Val Acc: 76.62%
Epoch [11/500], LR: 0.010000, Train Loss: 0.9673, Train Acc: 67.50%, Val Loss: 0.6899, Val Acc: 76.94%
Epoch [12/500], LR: 0.010000, Train Loss: 0.9536, Train Acc: 68.02%, Val Loss: 0.6773, Val Acc: 76.70%
Epoch [13/500], LR: 0.010000, Train Loss: 0.9497, Train Acc: 67.98%, Val Loss: 0.6583, Val Acc: 77.92%
Epoch [14/500], LR: 0.010000, Train Loss: 0.9427, Train Acc: 68.35%, Val Loss: 0.6359, Val Acc: 78.26%
Epoch [15/500], LR: 0.010000, Train Loss: 0.9316, Train Acc: 68.62%, Val Loss: 0.6640, Val Acc: 77.71%
Epoch [16/500], LR: 0.010000, Train Loss: 0.9354, Train Acc: 68.63%, Val Loss: 0.6418, Val Acc: 78.52%
Epoch [17/500], LR: 0.010000, Train Loss: 0.9354, Train Acc: 68.71%, Val Loss: 0.6428, Val Acc: 77.98%
Epoch [18/500], LR: 0.010000, Train Loss: 0.9323, Train Acc: 68.95%, Val Loss: 0.6382, Val Acc: 78.51%
Epoch [19/500], LR: 0.010000, Train Loss: 0.9281, Train Acc: 68.76%, Val Loss: 0.6422, Val Acc: 78.28%
Epoch [20/500], LR: 0.010000, Train Loss: 0.9203, Train Acc: 69.19%, Val Loss: 0.6297, Val Acc: 78.66%
Epoch [21/500], LR: 0.010000, Train Loss: 0.9193, Train Acc: 69.39%, Val Loss: 0.6241, Val Acc: 78.95%
Epoch [22/500], LR: 0.010000, Train Loss: 0.9159, Train Acc: 69.33%, Val Loss: 0.6394, Val Acc: 78.05%
Epoch [23/500], LR: 0.010000, Train Loss: 0.9173, Train Acc: 69.33%, Val Loss: 0.6371, Val Acc: 78.10%
Epoch [24/500], LR: 0.010000, Train Loss: 0.9102, Train Acc: 69.55%, Val Loss: 0.6159, Val Acc: 79.28%
Epoch [25/500], LR: 0.010000, Train Loss: 0.9172, Train Acc: 69.63%, Val Loss: 0.6226, Val Acc: 78.45%
Epoch [26/500], LR: 0.010000, Train Loss: 0.9150, Train Acc: 69.54%, Val Loss: 0.6314, Val Acc: 79.10%
