训练配置:
模型: 2c3f_relu, 权重位宽: 4, 激活位宽: 4
数据集: MNIST, 批大小: 256, 训练轮数: 500
优化器: adam, 学习率: 0.001, 权重衰减: 0.0001
学习率调度器: step, 耐心值: 25, 最小学习率: 1e-07
二分类阈值: 0.5, 权重裁剪: True

Epoch  |     LR     | Train Loss | Train Acc  |  Val Loss  |  Val Acc   | Status
-------------------------------------------------------------------------------------
  1    | 0.0010000  |   1.5607   |   51.01   % |   1.0898   |   70.33   % | ★ Best
  2    | 0.0010000  |   0.8940   |   76.76   % |   0.7109   |   82.30   % | ★ Best
  3    | 0.0010000  |   0.6177   |   84.71   % |   0.5276   |   87.08   % | ★ Best
  4    | 0.0010000  |   0.4700   |   88.35   % |   0.4177   |   89.86   % | ★ Best
  5    | 0.0010000  |   0.3720   |   90.71   % |   0.3391   |   91.42   % | ★ Best
  6    | 0.0010000  |   0.3145   |   92.11   % |   0.2889   |   92.54   % | ★ Best
  7    | 0.0010000  |   0.2681   |   93.24   % |   0.2562   |   93.21   % | ★ Best
  8    | 0.0010000  |   0.2386   |   93.79   % |   0.2231   |   94.06   % | ★ Best
  9    | 0.0010000  |   0.2104   |   94.53   % |   0.1990   |   94.78   % | ★ Best
  10   | 0.0010000  |   0.1916   |   94.93   % |   0.1836   |   95.19   % | ★ Best
  11   | 0.0010000  |   0.1753   |   95.20   % |   0.1642   |   95.37   % | ★ Best
  12   | 0.0010000  |   0.1587   |   95.72   % |   0.1548   |   95.81   % | ★ Best
  13   | 0.0010000  |   0.1491   |   95.84   % |   0.1410   |   95.92   % | ★ Best
  14   | 0.0010000  |   0.1369   |   96.20   % |   0.1369   |   96.11   % | ★ Best
  15   | 0.0010000  |   0.1324   |   96.24   % |   0.1294   |   96.17   % | ★ Best
  16   | 0.0010000  |   0.1257   |   96.37   % |   0.1246   |   96.39   % | ★ Best
  17   | 0.0010000  |   0.1187   |   96.59   % |   0.1156   |   96.50   % | ★ Best
  18   | 0.0010000  |   0.1102   |   96.82   % |   0.1082   |   96.93   % | ★ Best
